eid	filename	class_mark	sort_class_mark
122274	MS-DAR-00003-000-00105.jpg	DAR 3: 237ar	DAR 00003: 00237AR
122864	MS-DAR-00003-000-00106.jpg	DAR 3: 237av	DAR 00003: 00237AV
122275	MS-DAR-00003-000-00107.jpg	DAR 3: 237br	DAR 00003: 00237BR
122865	MS-DAR-00003-000-00108.jpg	DAR 3: 237bv	DAR 00003: 00237BV
122276	MS-DAR-00003-000-00109.jpg	DAR 3: 237r	DAR 00003: 00237R
122863	MS-DAR-00003-000-00110.jpg	DAR 3: 237v	DAR 00003: 00237V
122277	MS-DAR-00003-000-00111.jpg	DAR 3: 238ar	DAR 00003: 00238AR
122867	MS-DAR-00003-000-00112.jpg	DAR 3: 238av	DAR 00003: 00238AV
122278	MS-DAR-00003-000-00113.jpg	DAR 3: 238r	DAR 00003: 00238R
122866	MS-DAR-00003-000-00114.jpg	DAR 3: 238v	DAR 00003: 00238V
122279	MS-DAR-00003-000-00115.jpg	DAR 3: 239r	DAR 00003: 00239R
122868	MS-DAR-00003-000-00116.jpg	DAR 3: 239v	DAR 00003: 00239V
122280	MS-DAR-00003-000-00117.jpg	DAR 3: 240r	DAR 00003: 00240R
122869	MS-DAR-00003-000-00118.jpg	DAR 3: 240v	DAR 00003: 00240V
122281	MS-DAR-00003-000-00119.jpg	DAR 3: 241a[1]r	DAR 00003: 00241A 00001 R
122870	MS-DAR-00003-000-00120.jpg	DAR 3: 241a[1]v	DAR 00003: 00241A 00001 V
122282	MS-DAR-00003-000-00121.jpg	DAR 3: 241r	DAR 00003: 00241A 00001.5 R
122871	MS-DAR-00003-000-00122.jpg	DAR 3: 241v	DAR 00003: 00241A 00001.5 V
122283	MS-DAR-00003-000-00123.jpg	DAR 3: 241a[2]r	DAR 00003: 00241A 00002 R
122872	MS-DAR-00003-000-00124.jpg	DAR 3: 241a[2]v	DAR 00003: 00241A 00002 V
122284	MS-DAR-00003-000-00125.jpg	DAR 3: 242r	DAR 00003: 00242R
122873	MS-DAR-00003-000-00126.jpg	DAR 3: 242v	DAR 00003: 00242V
122285	MS-DAR-00003-000-00127.jpg	DAR 3: 243r	DAR 00003: 00243R
122874	MS-DAR-00003-000-00128.jpg	DAR 3: 243v	DAR 00003: 00243V
122286	MS-DAR-00003-000-00129.jpg	DAR 3: 244r	DAR 00003: 00244R
122875	MS-DAR-00003-000-00130.jpg	DAR 3: 244v	DAR 00003: 00244V
122287	MS-DAR-00003-000-00131.jpg	DAR 3: 245r	DAR 00003: 00245R
122876	MS-DAR-00003-000-00132.jpg	DAR 3: 245v	DAR 00003: 00245V
122288	MS-DAR-00003-000-00133.jpg	DAR 3: 246r	DAR 00003: 00246R
